id,Koulun nimi,name,desc,precision,latitude,longitude,1a. Onko koulussanne ollut tai onko koulussanne tällä hetkellä,1b. Onko havaittu ongelma vielä olemassa?,1c. Tarkenna halutessasi vastausta,2a. Miten tilanne on varmennettu rakennusteknisesti tai muilla tutkimuksilla?,2b. Tarkenna halutessasi vastausta,3. Minä vuonna ongelma on havaittu?,4a. Onko kouluterveydenhuolto selvittänyt oppilaiden oireilua tai sairastumista?,4b. Onko työterveyshuolto selvittänyt työntekijöiden oireilua tai sairastumista?,5. Onko koulunne oppilaita siirretty muihin tiloihin ongelmien vuoksi?,"6. Arvionne, millä summalla korjaustöitä on tehty?",7. Onko teille myönnetty näihin korjauksiin valtion kohdentamaa tukea?,8. Mitä esteitä on tullut ongelman hoitamisessa ja rakennuksen kuntoon saattamisessa?,Koulurakennuksen rakennusvuosi,Peruskoulun oppilasmäärä
204,Vetelin Yläkoulu,"Koulukuja 1, 69700 Veteli","Koulukuja 1, FI-69700 Veteli, Finland",address,63.47312,23.7942399,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"Pääongelmana koko rakennuksessa on riittämätön ilmanvaihto. Korvausilmaa ei tule hallitusti riittävässä määrin rakennukseen sisälle, minkä vuoksi sitä tulee rakenteiden läpi. Tämän vuoksi luokkien sisäilmaan pääsee hiukkasia eristemateriaaleista, mikä aiheuttaa mm. hengitystieoireita. Lisäksi ilman hiilidioksidipitoisuus on korkea, mikä aiheuttaa päänsärkyä.<br /><br />Koulun kellarikerroksessa (joka tosin ei oireilun vuoksi ole ollut aktiivisessa käytössä pariin vuoteen) on havaittu kosteutta ja mikrobeja.",Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,Pintakosteusmittauksia<br />Sisäilmatutkimuksia<br />Rakenteellisia tutkimuksia,2010,Kyllä,En osaa sanoa,Kyllä,0 – 10 000 €,Ei,"Tutkimusten järjestämisessä on kulunut paljon aikaa. Aikaa on mennyt myös siinä, että on mm. siivousta ja ilmanvaihtoa tehostamalla sekä pikkuremontteja tekemällä yritetty parantaa tilannetta. Näiden toimenpiteiden jälkeinen seuranta on sitten vienyt aikaa. Nyt tutkimukset on saatu valmiiksi ja remonttipäätös on tehty, mutta ilmeisesti tämän kaltaisia remontteja on alueellammekin niin paljon käynnissä, että itse remontti ei ole päässyt vielä alkamaan.",1955,96
205,Merenojan koulu,"Pohjankyläntie 6, 85100 Kalajoki","Pohjankyläntie 6, FI-85100 Kalajoki, Finland",address,64.26066,23.95545,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,Perusteellinen saneeraus tehty vuosina 2012-14,Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,,,Kyllä,Kyllä,Kyllä,1 000 000 – 10 000 000 €,Ei,,1950,366
206,Kyminkartanon koulu,"Temppelikatu 18, 48100, KOTKA","Temppelikatu 18, FI-48600 Kotka, Finland",address,60.51608,26.90699,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"Ennen mittavaa peruskorjaushanketta 1972 valmistuneessa parakkimaisessa lisärakennuksessa vakava sisäilmaongelma.<br /><br />Peruskorjaushankkeen jälkeen tilapäinen sisäilmaongelma kahdessa luokkatilassa. Syy selvitetty uusien materiaalien ""päästöksi"" sekä yhden luokkatilan puutteellinen lämpötilan säätö.",Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,,2007,Kyllä,Kyllä,Kyllä,1 000 000 – 10 000 000 €,Kyllä,"Kunnnan teknisen viraston tiedottamiskulttuuri oli tyystin erilainen, kuin mitä tilanne koulun näkökulmasta olisi vaatinut. Tutkimusten tulokset sai vasta erikseen kahdesti pyytämällä, henkilöstölle ei haluttu kertoa tilannetta ajoissa, mitä ollaan jatkossa tekemässä ja millä aikataululla. Korjausten ajankohdasta ja niiden vaikutuksesta koulutyöhön ei tiedotettu koulua paikoin millään tavoin etukäteen, vaan miehet töineen ja koneineen tupsahtivat paikalle. Hyvänä huonona esimerkkinä ilmanvaihtokanavat puhdistettiin sisäilmaongelmaisessa lisärakennuksessa kouluaikana ennakkoon ilmoittamatta ja heniklökunnan sekä oppilaiden työskennellessä rakennuksessa. <br />Luvatut sisäilmatutkmukset viipyivät yli puoli vuotta ja käynnistyivät vasta, kun rehtori suututtuu kaupunginarkkitehdin ja vähän isännöinninkin ja tulosten analyysi ei edennyt kesän aikana lainkaan. Mutta se oli silloin 2007. Kun varsinainen peruskorjaushanke alkoi, ko. rakennus purettiin ensi töiksi kokonaan pois. Peruskorjaushanke eteni varsin hyvin. <br />Pienimuotoisissa peruskorjauksen jälkeisissä mittauksissa ei ole ollut enää samaa ongelmaa. ",1936,269
207,Merisaappaan koulu,"Sjöstöveln 6, 02320 Esbo, Finland","Sjöstöveln 6, FI-02320 Esbo, Finland",address,60.14743,24.64395,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"Koulussa on epäselvästi määritelty sisäilmaongelma, oireilevia on ollut paljon, mutta selittäviä tekijöitä ei ole löydetty. Koulusta on korjattu katto ja salaojat sekä huollettu ilmastointijärjestelmä. Materiaali väistötiloissa aiheuttaa edelleen osalle oireiluja. ",Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,,2011,Kyllä,Kyllä,Kyllä,100 000 – 1 000 000 €,En osaa sanoa,Ensimmäinen homehavainto on tehty 1997. Tästä raportointi loppuu vuoteen 2000. Välissä jiirikohtien vuotoja sekä oireiluja. Uusi ilmoitus tehty 2011 vaihtuneen rehtorin myötä. Toimenpiteisiin alettu liikunsalin puitteissa kesällä 2015 ja muun rakennuksen osalta syksyllä 2015.,1986,45
208,Puropellon koulu,"Sepänkatu 11, 20700 Turku","Sepänkatu 11, FI-20700 Turku, Finland",address,60.44116,22.2719099,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"Siinä osassa koulua, jota ei vielä ole remontoitu, on esiintynyt ongelmia ilmanvaihtoon liittyen.",Muulla kuntoarviolla; Ei millään em. tavalla,,2006,Kyllä,Ei,Ei,1 000 000 – 10 000 000 €,Ei,Koulussa ei ole esiintynyt kosteus- tai muita pahoja sisäilmaongelmia. Siitä syystä ns. peruskorjaus on siirtynyt kaupungin muiden koulujen kiireellisempien remonttien tieltä.,1958,521
209,Noukavaaran koulu,"Meskusvaarantie 61, 93999 Kuusamo","Meskusvaarantie 61, FI-93999 Kuusamo, Finland",address,66.0147099,29.03668,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,Ei varsinaisia ongelmia. Kovilla pakkasilla joudutaan käyttämään lisälämmitintä (sähköinen).,Ei millään em. tavalla,,,,,,,,,1954,42
210,Hernejärven koulu,"Parkinlahdentie 15, 74140 Iisalmi","Parkinlahdentie 15, FI-74140 Iisalmi, Finland",address,63.53953,27.46536,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Rakennuksen kuntotutkimuksella,,,,,,,,,1953,71
211,Pohjoinen koulu,"Karankatu 13, 11120 Riihimäki","Karankatu 13, FI-11120 Riihimäki, Finland",address,60.74596,24.77965,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,Koulun sisätiloihin kulkeutuu ajoittain viemärinhajua.,Ei millään em. tavalla,nenällä,2010,Ei,Ei,Ei,Rahaa ei ole käytetty,Ei,Erilaisia arveluita ja kokeiluja on tehty hajun lähteen selvittämiseksi,2006,229
212,Jyrängön koulu,"Koskensaarentie 7, 18150 Heinola, Finland","Koskensaarentie 7, FI-18150 Heinola, Finland",address,61.19454,26.03406,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,,Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,,2011,Kyllä,Kyllä,Ei,10 000 – 100 000 €,Ei,,1930,199
213,Kalajärven koulu,"Hiirisuontie 1, 02970 Espoo","Hiirisuontie 1, FI-02970 Espoo, Finland",address,60.30835,24.73229,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"Kuiva ilma, vaikeus säätää ilmastointi sopivaksi.",Sisäilmanlaadun tutkimuksilla,,2015,Ei,Kyllä,Ei,0 – 10 000 €,En osaa sanoa,,1972,471
214,Rantakylän yhtenäiskoulu,"Vanhamäentie 2, 50600 Mikkeli","Vanhamäentie 2, FI-50600 Mikkeli, Finland",address,61.67741,27.2015,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"vanha koulu odottanut pitkään remonttia, eristykset olemattomia lattia ja seinät. Kosteus nousee lattian kautta, sulattaa liiman matosta ja tästä aiheutuu ilmaan epäpuhtauksia ja muuta.<br />",Muulla kuntoarviolla; Sisäilmanlaadun tutkimuksilla,"Toivomuksistamme (näitä on ollut paljon), huolimatta perusteellista kuntotutkimusta rakennukseemme ei ole tehty vaikka remonttia on jo vuosi kymmen suunniteltu.",2009,Kyllä,Kyllä,Kyllä,100 000 – 1 000 000 €,Ei,"Valtaisan iso rakennuskompleksi, kaupungilla vähän rahaa, haluttomuus selvittää perusteellisesti, mistä on kysymys. Tämä johtunee määrärahojen vähyydestä, on yritetty lähinnä tekohengittää ja antaa ensiapua.<br />Koulumme on iso yhtenäiskoulu kasvualueella.<br />Koulumme on yhdistetty kahdesta eri koulurakennuksesta ja kummankin yhteydessä olleista asuntotiloista.",1969,690
215,Metsolan koulu,"Allintie 9, 48220 Kotka","Allintie 9, FI-48220 Kotka, Finland",address,60.48288,26.9047,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,lattioista vok-päästöjä,Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,,2008,Kyllä,Kyllä,Ei,10 000 – 100 000 €,Ei,Koulu loppuu 2018,1939,164
216,Männikön koulu,Vasunmäentie 550 62160 Karhunkylä,"Vasunmäentie 550, FI-62160 Lapua, Finland",address,62.94265,23.14063,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,Koulumme uuden siiven luokkarakennuksen ilmanvaihtoa on jouduttu säätämään uudelleen huonon sisäilman vuoksi.,Muulla kuntoarviolla,Suodattimein vaihto ja virtauksen mittaus.,2015,Ei,Ei,Ei,0 – 10 000 €,Ei,"Ei mitään esteitä. Kaikki on hoidettu asiallisesti heti, kun rehtori on asiasta kaupungin teknistä tointa informoinut.<br /><br />",1920,62
217,Lapuan Keskuskoulu,"Koulukatu 8, 62100 Lapua, Finland","Koulukatu 8, FI-62100 Lapua, Finland",address,62.96526,23.01146,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Rakennuksen kuntotutkimuksella; Muulla kuntoarviolla; Sisäilmanlaadun tutkimuksilla,,,,,,,,,1956,374
218,Kylmälänkylän koulu,"Kylmälänkyläntie 2845, 91560 Kylmälänkylä","Kylmälänkyläntie 2845, FI-91560 Muhos, Finland",address,64.60194,26.2407,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,"Koulussamme on osassa tiloista puutteellinen ilmanvaihto. Jotkut toiset tilat taas ovat talvipakkasilla välillä viileitä. Kyseessä on siis kuitenkin hyvin vähäinen sisäilmaongelma, jota en tässä kyselyssä pitäisi edes ongelmana.",Sisäilmanlaadun tutkimuksilla,,,Ei,Kyllä,Ei,0 – 10 000 €,Ei,,1957,22
219,Kulosaaren yhteiskoulu,"Ståhlberginkuja 1, 00570 Helsinki","Ståhlberginkuja 1, FI-00570 Helsinki, Finland",address,60.18717,25.00357,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,"Ilmanlaatumittauksissa ei ole havaittu ongelmia. Kouluterveyskyselyiden perusteella ilmanlaatu ja lämpötilat ovat melko hyviä. Yksittäisiä sisäilman laatua koskevia kysymyksiä tulee harvoin. Useammin saamme palautetta hyvästä ilmanlaadusta. Reagoimme herkästi opettajilta ja oppilailta tuleviin kysymyksiin ja palautteeseen ilmanlaatua ja kiinteistön kuntoa koskien. Koulurakennuksen eri osat on rakennettu vuosina 1955, 1966, 2000, 2011 ja 2015. Suurehkoa kiinteistöä korjataan ja parannetaan jatkuvasti.",Muulla kuntoarviolla; Sisäilmanlaadun tutkimuksilla,Rakenteita ja kiinteistötekniikkaa on pyritty uudistamaan ennen kuin niiden huono kunto aiheuttaa ongelmia. Pidämme mieluummin yllä rakennuksen hyvää kuntoa kuin korjaamme vikoja.,,,,,,,,1955,828
220,Lintumetsän koulu,"Fågelskogsvägen 10, 02660 Esbo, Finland","Fågelskogsvägen 10, FI-02660 Esbo, Finland",address,60.23807,24.81962,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,,Sisäilmanlaadun tutkimuksilla,,2014,Ei,Ei,Ei,10 000 – 100 000 €,En osaa sanoa,,1998,283
221,Mustamäen koulu,"Mustamäentie 103, 24910 HALIKKO AS, Finland","Mustamäentie 103, FI-24910 Salo, Finland",address,60.39244,23.03661,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Muulla kuntoarviolla,"Koulu on rakennettu v1951 ja siihen tehtiin mittava laajennus, joka valmistui 2002. Laajennuksen yhteydessä kaikki koulun tilat kartoitettiin ja talotekniikkaa parannettiin. Ongelmia ei ole tietääkseni ollut koskaan opetustiloissa.<br /><br /> ",,,,,,,,1951,159
222,Päivänkehrän koulu,"Päivänkehräntie 2, 02210 Espoo","Päivänkehräntie 2, FI-02210 Espoo, Finland",address,60.17436,24.73837,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,Puutteellinen ilmanvaihto,Rakennuksen kuntotutkimuksella,Koulussa alkaa peruskorjaus. Tilanne on siis hallinnassa,2009,Ei,Kyllä,Ei,Yli 10 000 000 €,En osaa sanoa,,1975,600
223,Nunnanlahden koulu,"Nunnanlahdentie 963, 83940 Nunnanlahti, Finland","Nunnanlahdentie 963, FI-83940 Juuka, Finland",address,63.18605,29.41764,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Muulla kuntoarviolla,,,,,,,,,1900,39
224,Ahmovaaran koulu,"Ahmovaarantie 141, 83950 Ahmovaara, Finland","Ahmovaarantie 141, FI-83950 Juuka, Finland",address,63.09813,29.61624,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Muulla kuntoarviolla,,,,,,,,,1895,21
225,Karsikon koulu,"Sirkkalantie 12 A 2, 80100 Joensuu","Sirkkalantie 12, FI-80100 Joensuu, Finland",address,62.60284,29.77684,kosteus- ja homeongelma,,"On ollut, ei ole enää: koulu on muuttanut puhtaisiin tiloihin. Vanhan koulurakennuksen kohtalo avoin.",Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,,2012,Kyllä,Kyllä,Kyllä,0 – 10 000 €,En osaa sanoa,"Oikean ""diagnoosin"" tekeminen ja syy-seuraussuhteiden osoittaminen on erittäin haastavaa.",2010,270
226,Pohjoislahden alakoulu,"Koskenpääntie 5, 42700 Keuruu, Finland","Koskenpääntie 5, FI-42560 Keuruu, Finland",address,62.1947255,24.7884903,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,,,,,,,,,1905,50
227,Kirkonkylän koulu,"Lampolantie 9, 25500 Perniö, Finland","Lampolantie 9, FI-25500 Salo, Finland",address,60.20999,23.1203,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,Todettu kosteus- ja homeongelma korjattiin kesällä 2015.  Ainakin näkyviltä osin.<br />Ilmanvaihto on epätasapainossa - sitä ei todennäköisesti saadakaan koskaan kuntoon - peruskorjausta suunnitellaan...ajankohta täysin auki.,Rakennuksen kuntotutkimuksella; Muulla kuntoarviolla,"vanha osa rakennettu 1950 jotain ja uudempi 1990, lisäys rakennuksen ikään.",2008,Kyllä,Kyllä,Kyllä,10 000 – 100 000 €,Ei,Raha ja aika...korjataan vain välttämättömät,1950,260
228,Keinumäen koulu,"Turuntie 150, 02740 Espoo","Turuntie 150, FI-02740 Espoo, Finland",address,60.22279,24.69193,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,,,,,,,,,2003,70
229,Moisio,"Moision koulutie 2, 20400 Turku","Moision koulutie 2, FI-20400 Turku, Finland",address,60.52961,22.2917,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"Homekoira merkitsi paikat, tutkittu, mutta ei löydetty kosetusongelmaa.Nyt sitten tulossa rakennetutkimukset.",Rakennuksen kuntotutkimuksella; Muulla kuntoarviolla; Sisäilmanlaadun tutkimuksilla,ks.edellinen,2014,Kyllä,En osaa sanoa,Kyllä,Yli 10 000 000 €,Ei,"Opettajien ja oppilaiden sairastuvuus ei ole kovin suurta, vaikeaa löytää syytä.Osa oppilaista siirtynyt muualle.<br /><br />Alla olevaan kysymykseen koulun rakentamisvuodesta lisään: 1955 ja peruskorjattu 2007, toinen rakennus 1997 ja lisäsiipi 2005.",1955,361
230,Pyhäselän koulu ja lukio,"Opettajantie 3 B, 82200 Hammaslashti","Opettajantie, FI-82200 Joensuu, Finland",street,62.43726,29.96521,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,Epämääräisiä viestejä on tullut oppilailta ja opettajilta. Ilmastointi on puhdistettu ja tasapainotettu.,Ei millään em. tavalla,Silmävaraisia kuntotarkasteluja on tehty.<br />Ei esim. rakenteiden kosteustutkimuksia vai epälyjä on ollutkin.,2012,Kyllä,Kyllä,Kyllä,0 – 10 000 €,En osaa sanoa,"Ttukimukset eivät lähde liikkeelle.<br />oletan, että tilakeskus ei halua tutkia, ettei synny kustannuksia.",1962,308
231,Tehtaanmäen koulu,"Pihtojantie 8, 46910 Inkeroinen","Pihtojantie 8, FI-46900 Kouvola, Finland",address,60.70664,26.82932,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Muulla kuntoarviolla,,,,,,,,Harmillisen hitaasti korjaustarpeisiin vastataan kaupungin taholta useista patisteluista ja pyynnöistä huolimmatta.,1938,86
232,Anttolan y htenäiskoulu,"Sahalantie 2, 52100 Anttola","Sahalantie 2, FI-52100 Mikkeli, Finland",address,61.58398,27.64779,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"VOC-ilmiö todettu ja korjattu, mutta oireilu jatkuu.",Sisäilmanlaadun tutkimuksilla,,2010,Kyllä,Kyllä,Kyllä,1 000 000 – 10 000 000 €,Kyllä,Korjauksissa ei ole käytetty riittävää ammattitaitoa.,2000,164
233,Karamzinin koulu,"Kulloonmäentie 20, 02940 Espoo","Kulloonmäentie 20, FI-02940 Espoo, Finland",address,60.2441217,24.7140133,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"Länsisiivessä todettiin toukokuussa 2007 sisäilmaongelma. Henkilöstö sai oireita. Länsisiipi pantiin käyttökieltoon toukokuun lopun ajaksi ja siellä olleet luokat ja henkilöstö evakuoitiin koulun muihin tiloihin, mm. liikuntasaliin.",Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,"Tilanne tutkittiin ja siihen reagoitiin nopeasti. Myös tarvittavat korjaukset suoritettiin kesällä 07. Tilanne saatiin kuntoon, oireita ei ole esiintynyt sen jälkeen.",2007,Kyllä,Kyllä,Kyllä,100 000 – 1 000 000 €,En osaa sanoa,"Tapauksen käsittely sujui hyvin, minut rehtorina otettiin vakavasti. Ongelman kartoittaminen ja korjaukset tehtiin ripeästi ja asianmukaisesti. Oireet lakkasivat.",1986,490
234,Hämeenlinnan yhteiskoulu,"Viertokatu 1,13210 Hämeenlinna","Viertokatu 1, FI-13210 Hämeenlinna, Finland",address,61.00554,24.48388,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,,Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,,2012,Kyllä,Kyllä,Kyllä,100 000 – 1 000 000 €,Ei,,1955,360
235,Alavieskan yhtenäiskoulu,"Koulutie 9, 85200 Alavieska","Koulutie 9, FI-85200 Alavieska, Finland",address,64.16507,24.30135,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"Osa oppilaista ja opettajista saa silmäoireita, päänsärkyä, äänen käheyttä tietyissä tiloissa.",Sisäilmanlaadun tutkimuksilla,Viimeisin tutkimus tehty v. 2012,2011,Kyllä,Kyllä,Kyllä,0 – 10 000 €,Ei,,1967,370
236,Heinäveden yläkoulu,"Kenttätie 1B, 79700 Heinävesi","Kenttätie 1B, FI-79700 Heinävesi, Finland",address,62.4253012,28.626818,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,- ilmanvaihtoon liittyviä ongelmia<br />- putkikanavissa mahdollista kosteutta<br />,Muulla kuntoarviolla; Sisäilmanlaadun tutkimuksilla,Työterveyslaitoksen tutkimuksella 2010 ja hiilidioksidimittauksilla,2009,Kyllä,Kyllä,Ei,0 – 10 000 €,Ei,"- tiedon kulun ongelma<br />- työterveyslaitoksen tutkimuksen pohjalta epäkohtia korjattiin, jonka jälkeen oppilaiden ja henkilöstön oireilu väheni merkittävästi",1960,109
237,Haapakosken koulu,"Koulutie 9, 62100 Lapua","Koulutie 9, FI-62100 Lapua, Finland",address,62.96679,23.10564,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Ei millään em. tavalla,Henkilöstöllä ei ole havaittu sisäilmaoireilua,,,,,,,,1949,44
238,Juvanpuiston koulu,"Juvanpuro 2, 02920 Espoo","Juvanpuro 2, FI-02920 Espoo, Finland",address,60.27766,24.75327,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Ei millään em. tavalla,Koulurakennus on suhteellisen uusi. Ilmanlaadun tutkimiseen ei ole ollut tarvetta.,,,,,,,,2003,551
239,Kirstin koulu,"Kirstintie 11, 02770 Espoo","Kirstintie 11, FI-02760 Espoo, Finland",address,60.2015,24.6698099,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,,Sisäilmanlaadun tutkimuksilla,,2013,Ei,Kyllä,Kyllä,,En osaa sanoa,,1975,337
240,Eestinkallion koulu,"Viittakorpi 7, 02280 Espoo","Viittakorpi 7, FI-02280 Espoo, Finland",address,60.16596,24.68446,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,Sisäilman riittämättömyyden ja ilmanvaihdon ongelmia on ollut pari vuotta sitten.,Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,Tehty erilaisia sisäilman laadun mittauksia ja otettu rakenteista  porausnäytteitä.,2012,Kyllä,Kyllä,Ei,100 000 – 1 000 000 €,En osaa sanoa,"Rakennus on teknisesti vanhanaikainen mm. ilmastoinnin suhteen, joten kaikkia suositusten mukaisia toimenpiteitä ei ole pystytty tekemään. Pääosin koulun esille tuomiin pulmiin on suhtauduttu asiallisesti, korjaustoimenpiteitä on tehty nopeastikin ja sisäilman laatu on nyt parempi.",1989,337
241,Itäinen koulu,"Kaarakkalantie 832, 74270 Kauppilanmäki, Finland","Kaarakkalantie 832, FI-74270 Vieremä, Finland",address,63.7815,27.22912,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,Kellarivarastosta tuli hajua koulutiloihin. <br />Vesiputket vuotivat,Muulla kuntoarviolla; Sisäilmanlaadun tutkimuksilla,Ilmanvaihtoa parannettiin.<br />Putkistot korjattiin,2011,Ei,Kyllä,Ei,0 – 10 000 €,Ei,Ongelmat saatiin poistettua,1985,39
242,Gananderin koulu,"Sandelsintie 4, 92500 Rantsila","Sandelsintie 4, FI-92500 Siikalatva, Finland",address,64.5068,25.64549,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,Koulumme on valmistunut vuonna 2003,Ei millään em. tavalla,Koulussa on tehty uuden koulun tarkistuksia. Mitään syytä epäillä homeongelmaa tai muutakaan sisäilman ongelmaa ei ole ilmennyt miltään taholta. Ei ole ollut syytä tehdä mitään tutkimusta.,,,,,,,,2003,88
